,eta,calorie
599,53,2424
600,43,2240
601,21,2331
602,41,2307
603,41,2312
604,34,2205
605,60,1975
606,42,2272
607,32,2580
608,56,2439
609,49,2335
610,60,1905
611,27,2414
612,39,2094
613,69,2055
614,28,2748
615,51,2309
616,24,2621
617,50,2026
618,30,2139
619,29,2721
620,62,2240
621,19,2688
622,50,2142
623,20,2681
624,48,2194
625,56,2102
626,19,2315
627,19,2630
628,37,2524
629,43,2091
630,68,1973
631,65,1929
632,51,2179
633,27,2302
634,55,2074
635,49,2298
636,34,2518
637,32,2405
638,37,2325
639,66,2090
640,42,2371
641,66,2171
642,55,2441
643,68,2106
644,20,2513
645,39,2047
646,53,2089
647,68,2072
648,50,2483
649,63,2021
650,51,2395
651,45,2132
652,19,2762
653,70,1992
654,31,2231
655,22,2480
656,51,2053
657,39,2108
658,48,2034
659,56,2033
660,67,2169
661,52,2144
662,26,2755
663,36,2066
664,28,2457
665,48,2127
666,46,2202
667,57,2458
668,53,2286
669,58,2008
670,23,2776
671,68,2042
672,56,2188
673,52,2110
674,31,2561
675,44,2269
676,21,2737
677,63,2071
678,49,2420
679,44,2375
680,22,2613
681,54,2154
682,22,2404
683,39,2087
684,19,2787
685,53,2358
686,36,2419
687,69,1946
688,64,2128
689,35,2082
690,53,2375
691,51,2037
692,45,2002
693,41,2161
694,70,1936
695,43,2431
696,37,2400
697,45,2002
698,44,2340
699,43,2396
700,46,2363
701,66,2208
702,46,2157
703,62,1856
704,37,2551
705,23,2670
706,62,2257
707,27,2899
708,55,2206
709,52,2131
710,38,2040
711,38,2099
712,33,2329
713,64,2202
714,61,2148
715,49,2000
716,34,2333
717,23,2833
718,63,2295
719,70,2180
720,30,2462
721,25,2308
722,66,2135
723,27,2647
724,46,2121
725,32,2058
726,28,2732
727,47,2323
728,18,2846
729,38,2133
730,50,2186
731,21,2631
732,23,2358
733,39,2420
734,19,2508
735,65,2182
736,28,2817
737,65,2155
738,24,2860
739,46,2174
740,35,2436
741,17,2367
742,67,1959
743,24,2345
744,28,2377
745,51,2352
746,56,2327
747,59,2463
748,31,2044
749,35,2500
750,52,2413
751,58,2024
752,56,2064
753,65,1813
754,59,2111
755,46,2156
756,66,2112
757,57,2215
758,48,2480
759,60,2037
760,27,2541
761,22,2451
762,68,1868
763,48,2336
764,32,2343
765,61,2151
766,54,2293
767,22,2714
768,23,2542
769,20,2474
770,65,1854
771,68,1907
772,38,2502
773,62,1963
774,65,2276
775,48,2256
776,66,2192
777,24,2876
778,36,2155
779,28,2376
780,17,2788
781,19,2565
782,25,2656
783,41,2014
784,49,2034
785,58,2264
786,60,2021
787,42,2046
788,57,2489
789,48,2024
790,37,2047
791,44,2352
792,53,2199
793,68,1883
794,20,2652
795,53,2048
796,42,2405
797,70,2276
798,55,2350
799,40,2074
800,65,1955
801,54,2397
802,56,2302
803,52,2157
804,36,2202
805,20,2541
806,47,2405
807,30,2077
808,36,2442
809,30,2595
810,34,2182
811,19,2678
812,55,2047
813,53,2302
814,59,2423
815,57,2421
816,30,2194
817,28,2429
818,63,1992
819,26,2723
820,22,2781
821,61,2287
822,64,2005
823,23,2624
824,35,2461
825,47,2238
826,64,1839
827,39,2015
828,31,2477
829,42,2126
830,65,1996
831,61,1857
832,22,2334
833,20,2528
834,35,2368
835,38,2101
836,66,1824
837,56,2099
838,68,2278
839,37,2571
840,32,2442
841,32,2215
842,37,2214
843,52,2277
844,34,2116
845,49,2064
846,66,1871
847,32,2165
848,20,2883
849,23,2567
850,44,2481
851,38,2384
852,19,2760
853,29,2892
854,34,2055
855,63,1980
856,60,1998
857,70,2255
858,41,2439
859,42,2468
860,37,2228
861,44,2186
862,44,2155
863,28,2374
864,21,2495
865,47,2290
866,50,2203
867,39,2401
868,67,1832
869,59,2081
870,68,2253
871,65,2290
872,24,2636
873,45,2390
874,68,1842
875,35,2284
876,32,2484
877,54,2475
878,52,2119
879,24,2536
880,69,1922
881,38,2113
882,43,2031
883,45,2459
884,24,2461
885,52,2359
886,22,2830
887,44,2385
888,51,2027
889,48,2363
890,59,2228
891,23,2433
892,33,2208
893,29,2623
894,57,2338
895,35,2428
896,66,1950
897,41,2482
898,32,2109
899,46,2329
900,37,2470
901,41,2487
902,57,2376
903,41,2434
904,70,1858
905,30,2580
906,18,2335
907,46,2222
908,64,1831
909,61,1995
910,58,2249
911,19,2317
912,63,2029
913,62,2004
914,56,2273
915,33,2422
916,48,2117
917,44,2207
918,70,2287
919,52,2303
920,49,2439
921,68,2028
922,59,2262
923,54,2406
924,70,1886
925,25,2374
926,22,2884
927,42,2308
928,29,2412
929,41,2129
930,28,2462
931,31,2272
932,67,2046
933,23,2733
934,52,2309
935,25,2825
936,20,2452
937,50,2067
938,19,2839
939,62,2112
940,20,2497
941,47,2009
942,68,1932
943,21,2701
944,27,2791
945,34,2517
946,56,2469
947,68,2159
948,29,2352
949,42,2066
950,54,2471
951,48,2089
952,50,2321
953,55,2478
954,19,2605
955,61,1979
956,46,2299
957,28,2785
958,49,2372
959,49,2391
960,52,2414
961,20,2589
962,53,2168
963,60,2215
964,27,2551
965,54,2448
966,33,2485
967,25,2435
968,27,2610
969,32,2479
970,41,2211
971,69,1921
972,59,2078
973,49,2210
974,69,1996
975,56,2086
976,43,2245
977,19,2716
978,27,2510
979,41,2335
980,48,2010
981,63,1859
982,53,2494
983,58,2419
984,32,2280
985,47,2415
986,50,2200
987,56,2085
988,49,2104
989,51,2225
990,46,2212
991,35,2235
992,39,2565
993,35,2009
994,63,2103
995,37,2115
996,39,2098
997,18,2500
998,17,2341
999,63,2281
1000,51,2323
1001,20,2663
1002,29,2558
1003,21,2784
1004,50,2248
1005,27,2755
1006,41,2344
1007,43,2025
1008,66,1974
1009,23,2434
1010,70,2018
1011,26,2358
1012,51,2257
1013,19,2624
1014,28,2545
1015,40,2429
1016,60,2039
1017,39,2552
1018,52,2211
1019,21,2737
1020,34,2220
1021,53,2082
1022,27,2557
1023,37,2443
1024,25,2881
1025,25,2643
1026,59,2132
1027,30,2538
1028,30,2487
1029,61,2121
1030,23,2572
1031,67,1928
1032,34,2516
1033,36,2344
1034,51,2182
1035,36,2428
1036,53,2442
1037,21,2424
1038,65,1807
1039,58,2006
1040,48,2388
1041,37,2590
1042,46,2452
1043,43,2353
1044,35,2272
1045,30,2170
1046,37,2439
1047,45,2322
1048,38,2030
1049,19,2745
1050,31,2578
1051,44,2049
1052,19,2658
1053,26,2410
1054,24,2571
1055,45,2259
1056,59,2097
1057,62,1973
1058,26,2337
1059,57,2111
1060,57,2101
1061,40,2255
1062,64,1929
1063,65,1866
1064,54,2319
1065,65,2008
1066,19,2327
1067,60,1957
1068,57,2103
1069,36,2027
1070,27,2713
1071,31,2146
1072,52,2334
1073,42,2192
1074,25,2536
1075,26,2357
1076,36,2448
1077,68,2237
1078,65,1805
1079,50,2358
1080,22,2314
1081,20,2421
1082,20,2747
1083,39,2308
1084,20,2695
1085,27,2773
1086,58,2278
1087,42,2466
1088,44,2071
1089,43,2399
1090,58,2168
1091,20,2541
1092,47,2058
1093,22,2731
1094,26,2633
1095,38,2531
1096,46,2308
1097,34,2291
1098,18,2769
1099,35,2594
1100,29,2827
1101,18,2535
1102,62,2117
1103,26,2619
1104,52,2326
1105,34,2575
1106,67,2073
1107,56,2490
1108,21,2726
1109,49,2283
1110,58,2471
1111,60,2161
1112,31,2381
1113,28,2833
1114,44,2125
1115,25,2844
1116,24,2726
1117,64,1994
1118,42,2130
1119,65,1970
1120,66,2251
1121,45,2295
1122,26,2602
1123,57,2068
1124,69,2221
1125,29,2603
1126,41,2083
1127,65,2090
1128,61,1855
1129,49,2064
1130,58,2162
1131,18,2832
1132,57,2379
1133,20,2604
1134,66,1928
1135,68,2245
1136,32,2527
1137,66,1936
1138,66,1812
1139,64,1869
1140,37,2101
1141,29,2589
1142,25,2651
1143,64,2147
1144,22,2438
1145,35,2252
1146,69,2035
1147,30,2599
1148,36,2209
1149,66,1817
1150,41,2024
1151,60,2278
1152,58,2366
1153,28,2697
1154,29,2399
1155,28,2579
1156,56,2496
1157,17,2465
1158,47,2174
1159,29,2743
1160,49,2211
1161,58,2285
1162,60,1849
1163,63,2042
1164,60,2026
1165,66,2040
1166,52,2052
1167,45,2037
1168,65,1959
1169,22,2543
1170,33,2144
1171,59,2281
1172,53,2235
1173,53,2318
1174,56,2017
1175,52,2048
1176,67,2092
1177,33,2356
1178,35,2481
1179,40,2430
1180,39,2403
1181,49,2230
1182,48,2283
1183,42,2327
1184,45,2033
1185,67,2086
1186,34,2513
1187,27,2715
1188,19,2565
1189,22,2374
1190,19,2571
1191,55,2316
1192,24,2815
1193,51,2248
1194,42,2168
1195,40,2481
1196,30,2571
1197,55,2096
1198,35,2376
1199,42,2179
1200,61,2040
1201,57,2117
1202,54,2195
1203,60,2203
1204,31,2216
1205,52,2055
1206,49,2434
1207,18,2315
1208,23,2622
1209,69,2181
1210,27,2338
1211,51,2370
1212,38,2115
1213,44,2266
1214,59,2188
1215,34,2009
1216,22,2816
1217,51,2360
1218,20,2387
1219,59,2074
1220,57,2307
1221,30,2248
1222,35,2516
1223,50,2317
1224,59,2240
1225,28,2794
1226,57,2458
1227,43,2341
1228,17,2583
1229,36,2599
1230,52,2467
1231,36,2243
1232,53,2297
1233,22,2625
1234,59,2436
1235,45,2205
1236,50,2396
1237,64,2164
1238,70,1814
1239,65,1926
1240,34,2519
1241,53,2300
1242,69,1850
1243,30,2467
1244,24,2806
1245,41,2364
1246,50,2478
1247,36,2207
1248,19,2718
1249,46,2097
1250,61,1918
1251,33,2567
1252,52,2381
1253,47,2016
1254,70,2041
1255,37,2104
1256,45,2068
1257,33,2498
1258,52,2299
1259,20,2681
1260,45,2376
1261,67,2049
1262,47,2130
1263,49,2467
1264,19,2899
1265,68,2089
1266,45,2163
1267,40,2192
1268,61,1939
1269,26,2862
1270,47,2318
1271,36,2528
1272,69,1923
1273,67,1864
1274,40,2264
1275,34,2513
1276,33,2383
1277,60,2127
1278,70,1824
1279,24,2686
1280,32,2269
1281,38,2530
1282,46,2246
1283,35,2186
1284,66,2119
1285,23,2516
1286,23,2596
1287,31,2527
1288,30,2148
1289,39,2283
1290,66,2243
1291,32,2116
1292,50,2257
1293,30,2418
1294,43,2144
1295,69,1835
1296,27,2864
1297,25,2458
1298,21,2374
1299,56,2420
1300,52,2371
1301,31,2311
1302,18,2757
1303,31,2515
1304,40,2491
1305,63,2125
1306,63,2086
1307,47,2096
1308,29,2894
1309,63,1911
1310,46,2289
1311,21,2347
1312,55,2006
1313,52,2010
1314,39,2004
1315,36,2235
1316,42,2100
1317,49,2182
1318,38,2490
1319,35,2010
1320,50,2091
1321,28,2603
1322,52,2221
1323,38,2110
1324,57,2247
1325,64,2187
1326,24,2457
1327,19,2455
1328,43,2142
1329,27,2879
1330,28,2828
1331,66,2105
1332,57,2493
1333,29,2438
1334,60,2059
1335,37,2119
1336,31,2297
1337,67,2081
1338,21,2470
1339,37,2227
1340,58,2163
1341,46,2122
1342,66,1993
1343,57,2086
1344,25,2841
1345,49,2114
1346,69,2069
1347,40,2230
1348,21,2742
1349,58,2000
1350,48,2281
1351,51,2046
1352,49,2484
1353,37,2133
1354,25,2857
1355,38,2484
1356,19,2599
1357,28,2744
1358,45,2160
1359,45,2274
1360,17,2384
1361,47,2426
1362,46,2045
1363,26,2426
1364,19,2656
1365,65,2061
1366,26,2303
1367,45,2034
1368,55,2299
1369,31,2532
1370,55,2020
1371,44,2119
1372,70,2209
1373,48,2163
1374,41,2334
1375,70,2090
1376,56,2220
1377,33,2181
1378,66,2157
1379,64,1879
1380,68,1952
1381,35,2253
1382,69,2158
1383,30,2176
1384,55,2264
1385,21,2518
1386,66,2186
1387,18,2471
1388,52,2393
1389,32,2071
1390,48,2081
1391,24,2337
1392,57,2301
1393,33,2322
1394,19,2792
1395,69,1912
1396,55,2262
1397,25,2403
1398,56,2070
1399,21,2614
1400,60,2047
1401,53,2465
1402,28,2727
1403,57,2263
1404,65,1950
1405,61,2251
1406,34,2096
1407,45,2371
1408,31,2321
1409,52,2037
1410,21,2417
1411,55,2063
1412,55,2016
1413,36,2169
1414,52,2040
1415,32,2098
1416,29,2849
1417,41,2220
1418,47,2440
1419,44,2177
1420,31,2196
1421,17,2623
1422,49,2216
1423,32,2011
1424,23,2392
1425,54,2006
1426,68,2217
1427,53,2266
1428,34,2261
1429,54,2258
1430,58,2104
1431,51,2266
1432,36,2198
1433,59,2341
1434,21,2441
1435,20,2891
1436,34,2115
1437,60,2040
1438,59,2307
1439,33,2433
1440,61,2069
1441,41,2088
1442,62,2043
1443,40,2087
1444,36,2281
1445,40,2149
1446,53,2107
1447,37,2422
1448,68,2104
1449,41,2132
1450,48,2308
1451,62,2101
1452,67,1832
1453,44,2287
1454,27,2444
1455,57,2150
1456,52,2338
1457,47,2098
1458,70,2238
1459,26,2410
1460,47,2210
1461,48,2183
1462,21,2511
1463,40,2140
1464,24,2466
1465,69,1955
1466,58,2194
1467,49,2495
1468,34,2268
1469,33,2185
1470,61,2169
1471,25,2887
1472,30,2465
1473,54,2499
1474,66,2081
1475,52,2192
1476,60,2225
1477,64,1875
1478,69,1816
1479,39,2398
1480,37,2341
1481,25,2593
1482,43,2107
1483,20,2663
1484,32,2409
1485,61,1864
1486,48,2257
1487,55,2379
1488,61,1907
1489,37,2093
1490,33,2356
1491,43,2481
1492,68,2155
1493,55,2456
1494,60,2151
1495,24,2724
1496,56,2486
1497,54,2316
1498,59,2360
1499,35,2355
1500,27,2524
1501,54,2282
1502,56,2237
1503,67,2034
1504,68,2034
1505,54,2326
1506,27,2488
1507,49,2247
1508,41,2166
1509,59,2113
1510,24,2487
1511,46,2125
1512,66,2056
1513,45,2488
1514,18,2679
1515,40,2119
1516,57,2066
1517,33,2263
1518,66,2286
1519,28,2486
1520,24,2458
1521,18,2590
1522,27,2498
1523,56,2176
1524,53,2343
1525,41,2025
1526,48,2407
1527,51,2327
1528,53,2484
1529,56,2098
1530,25,2428
1531,25,2829
1532,19,2560
1533,67,1941
1534,42,2484
1535,48,2395
1536,34,2038
1537,69,2239
1538,51,2129
1539,32,2241
1540,63,2030
1541,26,2460
1542,42,2025
1543,46,2335
1544,57,2424
1545,27,2833
1546,45,2283
1547,48,2349
1548,56,2338
1549,26,2348
1550,31,2115
1551,41,2207
1552,45,2481
1553,24,2773
1554,40,2222
1555,52,2403
1556,49,2163
1557,27,2573
1558,17,2554
1559,56,2208
1560,52,2158
1561,49,2388
1562,23,2411
1563,29,2783
1564,55,2418
1565,21,2834
1566,60,2253
1567,23,2809
1568,51,2002
1569,42,2365
1570,41,2152
1571,20,2859
1572,20,2437
1573,70,2145
1574,36,2575
1575,68,2239
1576,17,2530
1577,46,2011
1578,22,2823
1579,63,2127
1580,57,2236
1581,50,2358
1582,17,2502
1583,68,1976
1584,28,2657
1585,37,2523
1586,56,2257
1587,42,2088
1588,47,2135
1589,70,2020
1590,57,2257
1591,62,2249
1592,48,2264
1593,51,2203
1594,62,2267
1595,44,2407
1596,22,2449
1597,43,2352
1598,30,2476
1599,31,2032
1600,23,2893
1601,38,2563
1602,67,2124
1603,66,1837
1604,35,2262
1605,65,2243
1606,52,2325
1607,67,2012
1608,23,2342
1609,58,2487
1610,24,2388
1611,40,2418
1612,64,2092
1613,28,2463
1614,37,2225
1615,47,2441
1616,20,2384
1617,52,2396
1618,44,2367
1619,66,2244
1620,70,2211
1621,66,2235
1622,42,2302
1623,24,2478
1624,47,2140
1625,32,2087
1626,29,2877
1627,23,2834
1628,57,2134
1629,70,1950
1630,69,2136
1631,34,2011
1632,49,2208
1633,27,2540
1634,44,2387
1635,49,2089
1636,33,2021
1637,68,1957
1638,32,2103
1639,43,2156
1640,23,2441
1641,33,2373
1642,42,2006
1643,20,2745
1644,46,2478
1645,40,2231
1646,58,2499
1647,18,2827
1648,53,2299
1649,54,2356
1650,58,2360
1651,36,2511
1652,55,2435
1653,17,2777
1654,65,2015
1655,32,2146
1656,53,2120
1657,51,2116
1658,45,2415
1659,55,2182
1660,33,2310
1661,67,2257
1662,39,2130
1663,59,2028
1664,36,2017
1665,57,2472
1666,25,2327
1667,67,1918
1668,23,2444
1669,41,2214
1670,70,2262
1671,45,2109
1672,51,2390
1673,60,1961
1674,41,2203
1675,38,2514
1676,58,2104
1677,61,2271
1678,69,1829
1679,66,2244
1680,34,2477
1681,20,2555
1682,43,2129
1683,49,2466
1684,50,2432
1685,31,2150
1686,70,2221
1687,25,2798
1688,37,2526
1689,42,2046
1690,51,2257
1691,49,2416
1692,60,1953
1693,60,2241
1694,19,2836
1695,23,2605
1696,24,2888
1697,33,2193
1698,23,2325
1699,26,2723
1700,20,2827
1701,68,1956
1702,29,2359
1703,41,2140
1704,26,2837
1705,69,1838
1706,50,2046
1707,24,2384
1708,28,2707
1709,44,2054
1710,29,2488
1711,24,2542
1712,49,2106
1713,36,2147
1714,32,2355
1715,23,2797
1716,35,2498
1717,42,2491
1718,33,2040
1719,18,2722
1720,39,2512
1721,38,2260
1722,50,2200
1723,46,2352
1724,46,2230
1725,49,2494
1726,23,2795
1727,24,2638
1728,35,2215
1729,49,2107
1730,55,2170
1731,69,1975
1732,46,2087
1733,49,2210
1734,26,2554
1735,61,2289
1736,24,2567
1737,47,2247
1738,42,2234
1739,58,2328
1740,70,1910
1741,68,1904
1742,39,2217
1743,40,2058
1744,40,2333
1745,18,2678
1746,37,2557
1747,19,2749
1748,57,2229
1749,54,2250
1750,37,2357
1751,40,2375
1752,43,2335
1753,46,2379
1754,24,2854
1755,36,2300
1756,48,2378
1757,37,2598
1758,21,2434
1759,26,2466
1760,53,2465
1761,49,2466
1762,52,2094
1763,28,2403
1764,50,2241
1765,27,2481
1766,67,1908
1767,65,1972
1768,61,2013
1769,20,2548
1770,18,2337
1771,66,1994
1772,41,2257
1773,54,2368
1774,24,2460
1775,22,2527
1776,19,2545
1777,70,2167
1778,40,2308
1779,38,2111
1780,34,2367
1781,60,2003
1782,51,2392
1783,67,2189
1784,36,2287
1785,28,2665
1786,28,2504
1787,42,2487
1788,18,2716
1789,21,2837
1790,32,2365
1791,58,2046
1792,44,2371
1793,69,2055
1794,36,2021
1795,39,2479
1796,57,2330
1797,22,2361
1798,35,2514
1799,59,2392
1800,70,2013
1801,24,2557
1802,62,2052
1803,57,2251
1804,63,1949
1805,55,2458
1806,21,2886
1807,68,2211
1808,26,2651
1809,63,2220
1810,21,2302
1811,17,2360
1812,33,2594
1813,18,2364
1814,65,2164
1815,39,2207
1816,23,2594
1817,48,2426
1818,42,2491
1819,23,2457
1820,22,2397
1821,20,2521
1822,46,2172
1823,37,2224
1824,53,2142
1825,55,2012
1826,54,2039
1827,64,1983
1828,52,2105
1829,50,2229
1830,33,2003
1831,34,2027
1832,62,1917
1833,25,2373
1834,23,2787
1835,51,2313
1836,33,2056
1837,22,2337
1838,39,2501
1839,18,2505
1840,40,2166
1841,47,2476
1842,59,2484
1843,57,2298
1844,37,2353
1845,28,2520
1846,23,2440
1847,60,1807
1848,24,2846
1849,26,2461
1850,32,2405
1851,56,2150
1852,53,2450
1853,64,2091
1854,53,2204
1855,66,2268
1856,38,2465
1857,32,2160
1858,26,2503
1859,45,2277
1860,50,2271
1861,64,2188
1862,46,2475
1863,37,2198
1864,67,1902
1865,52,2400
1866,66,2140
1867,30,2090
1868,43,2111
1869,57,2226
1870,17,2811
1871,38,2399
1872,66,2138
